subject activity timeBodyAccMeanX timeBodyAccMeanY timeBodyAccMeanZ timeGravityAccMeanX timeGravityAccMeanY timeGravityAccMeanZ timeBodyAccJerkMeanX timeBodyAccJerkMeanY timeBodyAccJerkMeanZ timeBodyGyroMeanX timeBodyGyroMeanY timeBodyGyroMeanZ timeBodyGyroJerkMeanX timeBodyGyroJerkMeanY timeBodyGyroJerkMeanZ timeBodyAccMagMean timeGravityAccMagMean timeBodyAccJerkMagMean timeBodyGyroMagMean timeBodyGyroJerkMagMean freqBodyAccMeanX freqBodyAccMeanY freqBodyAccMeanZ freqBodyAccJerkMeanX freqBodyAccJerkMeanY freqBodyAccJerkMeanZ freqBodyGyroMeanX freqBodyGyroMeanY freqBodyGyroMeanZ freqBodyAccMagMean freqBodyAccJerkMagMean freqBodyGyroMagMean freqBodyGyroJerkMagMean timeBodyAccStdDevX timeBodyAccStdDevY timeBodyAccStdDevZ timeGravityAccStdDevX timeGravityAccStdDevY timeGravityAccStdDevZ timeBodyAccJerkStdDevX timeBodyAccJerkStdDevY timeBodyAccJerkStdDevZ timeBodyGyroStdDevX timeBodyGyroStdDevY timeBodyGyroStdDevZ timeBodyGyroJerkStdDevX timeBodyGyroJerkStdDevY timeBodyGyroJerkStdDevZ timeBodyAccMagStdDev timeGravityAccMagStdDev timeBodyAccJerkMagStdDev timeBodyGyroMagStdDev timeBodyGyroJerkMagStdDev freqBodyAccStdDevX freqBodyAccStdDevY freqBodyAccStdDevZ freqBodyAccJerkStdDevX freqBodyAccJerkStdDevY freqBodyAccJerkStdDevZ freqBodyGyroStdDevX freqBodyGyroStdDevY freqBodyGyroStdDevZ freqBodyAccMagStdDev freqBodyAccJerkMagStdDev freqBodyGyroMagStdDev freqBodyGyroJerkMagStdDev
1 WALKING 0.276336875325203 -0.0179068331339779 -0.108881687638618 0.93499157825784 -0.196713497359117 -0.0538251249015482 0.0767187377408595 0.0115061924659823 -0.00231938614930952 -0.0347275766522822 -0.0694200436104837 0.0863626487285566 -0.0943007119992102 -0.0445701108594715 -0.0540064674427816 -0.167937853979757 -0.167937853979757 -0.241451989838379 -0.274866019270244 -0.460511516745528 -0.297890931822619 -0.0423392245272938 -0.341840674953966 -0.31112743843018 -0.170395065771795 -0.451010514389593 -0.348237370890012 -0.388384886139303 -0.310406242610407 -0.275558097404657 -0.214653971925401 -0.409173038476359 -0.515516844208937 -0.314644454310285 -0.0235829464260859 -0.2739207990668 -0.977612074494773 -0.966903875917538 -0.954597565156794 -0.267288163330981 -0.103141139217389 -0.479147120981986 -0.469914839340418 -0.347921806314175 -0.338448612532172 -0.37622140274036 -0.512619067859872 -0.447427245411672 -0.33775398556687 -0.33775398556687 -0.214555894362491 -0.382629015979094 -0.498841024689745 -0.322835798362427 -0.0772063416317422 -0.296078309260848 -0.287897688500499 -0.0908699078702335 -0.506329080412654 -0.510431986710081 -0.331961524686347 -0.410569112536585 -0.480002278144599 -0.221617770280105 -0.47383309359518 -0.514404823691173
1 WALKING_UPSTAIRS 0.26229464948342 -0.0259232890342181 -0.120537934670272 0.875003375958549 -0.281377193548575 -0.14079566587547 0.0767293215286917 0.00875888964679404 -0.00600953398545337 0.00682449600215674 -0.0885225289752966 0.0598938080367487 -0.112117464583562 -0.0386192672141386 -0.0525810278118912 -0.100204123946392 -0.100204123946392 -0.390938624541516 -0.178281147518361 -0.608047148013666 -0.293406752279022 -0.134950514403271 -0.368122061042293 -0.389896773119819 -0.364666839787014 -0.591670061637306 -0.394248174023122 -0.45925346898967 -0.296857721646179 -0.26202811322658 -0.353961999926425 -0.449781382648834 -0.658694456439443 -0.237989747950635 -0.0160325123253303 -0.175449700484728 -0.948191332253886 -0.925549271962435 -0.901905618180052 -0.360863432417876 -0.339226496686328 -0.627063649764249 -0.46760713827921 -0.344231806672079 -0.237136760675842 -0.553132758357837 -0.667339157124352 -0.560989210937073 -0.249875157023391 -0.249875157023391 -0.385400351575259 -0.337142124176179 -0.666836734071891 -0.218887990072578 -0.0218110366534067 -0.146601790497137 -0.388992761276127 -0.357632925658886 -0.661590843134715 -0.49525397668763 -0.29318182767215 -0.292041341940868 -0.361753456901554 -0.434206731972435 -0.381406363802979 -0.703083532121114
1 WALKING_DOWNSTAIRS 0.288137227760313 -0.0163119254923574 -0.105761624860013 0.926457404928876 -0.168507222023357 -0.0479709004743904 0.0892266917679481 0.000746749097403983 -0.00872860399406828 -0.0840345434632895 -0.0529928638977233 0.0946781961059175 -0.0728532273938407 -0.051263979292845 -0.0546961525371337 0.101249699851558 0.101249699851558 -0.111801821250135 -0.129785639782795 -0.416891551237909 0.035259668648926 0.0566826541965861 -0.21372923278293 -0.0722967761178656 -0.116380593184566 -0.333190280461238 -0.217922875601003 -0.317592694113158 -0.16562514453862 0.142849426284481 0.00476245916278094 -0.289525832505356 -0.438007290282333 0.100766330932127 0.0595486228783642 -0.190804507442162 -0.949748838733997 -0.934266078534851 -0.912460554516358 -0.0338826468930654 -0.0736744063550434 -0.388666069444772 -0.333817475057255 -0.339631376954339 -0.272809910672304 -0.38268977198606 -0.465943810555121 -0.326455992480064 0.116488914352198 0.116488914352198 -0.011220665881458 -0.251427800988919 -0.440929331631124 0.121937984843535 -0.0082336714233357 -0.245872896782916 -0.0821905158144886 -0.091416460479564 -0.443554664639787 -0.375127467913848 -0.36185368284522 -0.38040999928478 -0.0754251669550853 -0.0422714225290824 -0.361230992213905 -0.486442976081671
1 SITTING 0.273059614418965 -0.0126895730832639 -0.105517003220878 0.879731193472144 0.108713540331707 0.153774088505577 0.0758788492274395 0.00504690529678683 -0.0024866605775919 -0.0384313168439482 -0.0721208098964153 0.0777771461510523 -0.0956521058184581 -0.040779780524009 -0.0507555280236061 -0.95464392144063 -0.95464392144063 -0.98244444337085 -0.946724138930782 -0.987880071435003 -0.983091966702307 -0.947917966193585 -0.957031035425999 -0.985188769302195 -0.973988189836804 -0.97956197226224 -0.977267261395611 -0.972457592965672 -0.961028716797974 -0.952410413225098 -0.978684370388295 -0.964296113911086 -0.985335632976927 -0.983446221750141 -0.934880562895515 -0.938981580616207 -0.979682230393922 -0.957672740350591 -0.947357438593134 -0.984997226336522 -0.973883160517726 -0.982296486972425 -0.981022213218908 -0.966708127310073 -0.958007496724817 -0.985705127658976 -0.986502338745076 -0.983805514068655 -0.939324188353517 -0.939324188353517 -0.978907079240293 -0.951199015615082 -0.98460762855937 -0.983747266764209 -0.932533490271469 -0.934336687975915 -0.98618495368036 -0.975750855391109 -0.983670821046708 -0.982333273978616 -0.964033658897017 -0.961030235486775 -0.942000150701182 -0.978154770658413 -0.951641735873945 -0.984491355740011
1 STANDING 0.279153494050367 -0.016151886473745 -0.106586908690788 0.941479635262329 -0.18424651390288 -0.0140519613122015 0.0750279173525708 0.00880525863452886 -0.00458206132902833 -0.0266871408413746 -0.0677118654705719 0.0801422394994229 -0.0997292806919727 -0.0423171100101784 -0.052095548445404 -0.954179661789087 -0.954179661789087 -0.97711802452256 -0.942152523158447 -0.978697092402938 -0.98162230498426 -0.943132376852046 -0.957359650828961 -0.980008693961175 -0.96454742224554 -0.976157838746065 -0.943654258352571 -0.965302753756558 -0.958384988536201 -0.955868098520462 -0.971090423866737 -0.94790849906086 -0.974885979685205 -0.98443471156873 -0.932508714024134 -0.939913504673138 -0.988015176652676 -0.969351769994753 -0.953082525826338 -0.97996855569255 -0.964342752203568 -0.979485931469045 -0.94552836296957 -0.961293278672613 -0.957053051274921 -0.966957942859391 -0.980263299260231 -0.977067117235047 -0.946534779481637 -0.946534779481637 -0.971452977271773 -0.929531182355719 -0.973528580524659 -0.985859786930745 -0.931132967334732 -0.935439598488982 -0.981826075755509 -0.966831630482686 -0.981509250650577 -0.946971557429171 -0.959498600608604 -0.960689223903463 -0.949601613473977 -0.970947966726128 -0.93063670339979 -0.973461064197272
1 LAYING 0.268648643296245 -0.0183177280685082 -0.107435631519084 -0.375021333827161 0.622270362899691 0.55561247407572 0.0818473898341049 0.0111723565401199 -0.00485976942268338 -0.0167253403420918 -0.0934107103603086 0.125885141252623 -0.101864299363374 -0.038198085408019 -0.0638498197415123 -0.941110656500514 -0.941110656500514 -0.97920875497428 -0.938435972026749 -0.982726626075103 -0.966812071347737 -0.952678416904835 -0.960018019984568 -0.980197655180041 -0.971383628894033 -0.976614530180041 -0.962915035776389 -0.967582058544239 -0.964184423173868 -0.94767271172428 -0.974300115365226 -0.95485445779321 -0.977968240452675 -0.960932405036523 -0.943507185574074 -0.948069300024897 -0.943319727953189 -0.963191706084414 -0.951868724368827 -0.980381808513375 -0.971147567757202 -0.979476595910494 -0.967892432932613 -0.963192469243827 -0.963509228024691 -0.976124813760288 -0.980473581049383 -0.984782526095679 -0.932160020511831 -0.932160020511831 -0.974240573559671 -0.940596109587449 -0.976754966054527 -0.959031456047479 -0.942460971074588 -0.945643635450566 -0.982459599243827 -0.973051242896091 -0.980971915740741 -0.96974730340535 -0.961365374902263 -0.966725247165638 -0.934916672889661 -0.97318339962963 -0.942115714415638 -0.976648216795267
2 WALKING 0.276336875325203 -0.0179068331339779 -0.108881687638618 0.93499157825784 -0.196713497359117 -0.0538251249015482 0.0767187377408595 0.0115061924659823 -0.00231938614930952 -0.0347275766522822 -0.0694200436104837 0.0863626487285566 -0.0943007119992102 -0.0445701108594715 -0.0540064674427816 -0.167937853979757 -0.167937853979757 -0.241451989838379 -0.274866019270244 -0.460511516745528 -0.297890931822619 -0.0423392245272938 -0.341840674953966 -0.31112743843018 -0.170395065771795 -0.451010514389593 -0.348237370890012 -0.388384886139303 -0.310406242610407 -0.275558097404657 -0.214653971925401 -0.409173038476359 -0.515516844208937 -0.314644454310285 -0.0235829464260859 -0.2739207990668 -0.977612074494773 -0.966903875917538 -0.954597565156794 -0.267288163330981 -0.103141139217389 -0.479147120981986 -0.469914839340418 -0.347921806314175 -0.338448612532172 -0.37622140274036 -0.512619067859872 -0.447427245411672 -0.33775398556687 -0.33775398556687 -0.214555894362491 -0.382629015979094 -0.498841024689745 -0.322835798362427 -0.0772063416317422 -0.296078309260848 -0.287897688500499 -0.0908699078702335 -0.506329080412654 -0.510431986710081 -0.331961524686347 -0.410569112536585 -0.480002278144599 -0.221617770280105 -0.47383309359518 -0.514404823691173
2 WALKING_UPSTAIRS 0.26229464948342 -0.0259232890342181 -0.120537934670272 0.875003375958549 -0.281377193548575 -0.14079566587547 0.0767293215286917 0.00875888964679404 -0.00600953398545337 0.00682449600215674 -0.0885225289752966 0.0598938080367487 -0.112117464583562 -0.0386192672141386 -0.0525810278118912 -0.100204123946392 -0.100204123946392 -0.390938624541516 -0.178281147518361 -0.608047148013666 -0.293406752279022 -0.134950514403271 -0.368122061042293 -0.389896773119819 -0.364666839787014 -0.591670061637306 -0.394248174023122 -0.45925346898967 -0.296857721646179 -0.26202811322658 -0.353961999926425 -0.449781382648834 -0.658694456439443 -0.237989747950635 -0.0160325123253303 -0.175449700484728 -0.948191332253886 -0.925549271962435 -0.901905618180052 -0.360863432417876 -0.339226496686328 -0.627063649764249 -0.46760713827921 -0.344231806672079 -0.237136760675842 -0.553132758357837 -0.667339157124352 -0.560989210937073 -0.249875157023391 -0.249875157023391 -0.385400351575259 -0.337142124176179 -0.666836734071891 -0.218887990072578 -0.0218110366534067 -0.146601790497137 -0.388992761276127 -0.357632925658886 -0.661590843134715 -0.49525397668763 -0.29318182767215 -0.292041341940868 -0.361753456901554 -0.434206731972435 -0.381406363802979 -0.703083532121114
2 WALKING_DOWNSTAIRS 0.288137227760313 -0.0163119254923574 -0.105761624860013 0.926457404928876 -0.168507222023357 -0.0479709004743904 0.0892266917679481 0.000746749097403983 -0.00872860399406828 -0.0840345434632895 -0.0529928638977233 0.0946781961059175 -0.0728532273938407 -0.051263979292845 -0.0546961525371337 0.101249699851558 0.101249699851558 -0.111801821250135 -0.129785639782795 -0.416891551237909 0.035259668648926 0.0566826541965861 -0.21372923278293 -0.0722967761178656 -0.116380593184566 -0.333190280461238 -0.217922875601003 -0.317592694113158 -0.16562514453862 0.142849426284481 0.00476245916278094 -0.289525832505356 -0.438007290282333 0.100766330932127 0.0595486228783642 -0.190804507442162 -0.949748838733997 -0.934266078534851 -0.912460554516358 -0.0338826468930654 -0.0736744063550434 -0.388666069444772 -0.333817475057255 -0.339631376954339 -0.272809910672304 -0.38268977198606 -0.465943810555121 -0.326455992480064 0.116488914352198 0.116488914352198 -0.011220665881458 -0.251427800988919 -0.440929331631124 0.121937984843535 -0.0082336714233357 -0.245872896782916 -0.0821905158144886 -0.091416460479564 -0.443554664639787 -0.375127467913848 -0.36185368284522 -0.38040999928478 -0.0754251669550853 -0.0422714225290824 -0.361230992213905 -0.486442976081671
2 SITTING 0.273059614418965 -0.0126895730832639 -0.105517003220878 0.879731193472144 0.108713540331707 0.153774088505577 0.0758788492274395 0.00504690529678683 -0.0024866605775919 -0.0384313168439482 -0.0721208098964153 0.0777771461510523 -0.0956521058184581 -0.040779780524009 -0.0507555280236061 -0.95464392144063 -0.95464392144063 -0.98244444337085 -0.946724138930782 -0.987880071435003 -0.983091966702307 -0.947917966193585 -0.957031035425999 -0.985188769302195 -0.973988189836804 -0.97956197226224 -0.977267261395611 -0.972457592965672 -0.961028716797974 -0.952410413225098 -0.978684370388295 -0.964296113911086 -0.985335632976927 -0.983446221750141 -0.934880562895515 -0.938981580616207 -0.979682230393922 -0.957672740350591 -0.947357438593134 -0.984997226336522 -0.973883160517726 -0.982296486972425 -0.981022213218908 -0.966708127310073 -0.958007496724817 -0.985705127658976 -0.986502338745076 -0.983805514068655 -0.939324188353517 -0.939324188353517 -0.978907079240293 -0.951199015615082 -0.98460762855937 -0.983747266764209 -0.932533490271469 -0.934336687975915 -0.98618495368036 -0.975750855391109 -0.983670821046708 -0.982333273978616 -0.964033658897017 -0.961030235486775 -0.942000150701182 -0.978154770658413 -0.951641735873945 -0.984491355740011
